OCT16,9,23,2016
NOV16,10,21,2016
DEC16,11,25,2016
JAN17,12,23,2016
FEB17,1,27,2017
MAR17,2,24,2017
APR17,3,24,2017
MAY17,4,21,2017
JUN17,5,26,2017
JLY17,6,23,2017
AUG17,7,21,2017
SEP17,8,25,2017
OCT17,9,22,2017
NOV17,10,27,2017
DEC17,11,24,2017
JAN18,12,22,2017
MAR18,2,23,2018
MAY18,4,20,2018
JLY18,6,22,2018
AUG18,7,27,2018
SEP18,8,24,2018
OCT18,9,18,2018
NOV18,10,26,2018
DEC18,11,23,2018
JAN19,12,21,2018
MAR19,2,22,2019
MAY19,4,26,2019
JLY19,6,21,2019
AUG19,8,26,2019
SEP19,8,23,2019
NOV19,10,25,2019
DEC19,11,22,2019
JLY20,6,26,2020
DEC20,11,20,2020
